symbol,assetid_norgate,securityname_norgate,exchange_name,exchange_name_full,base_type,subtype1,subtype2,subtype3,financial_summary,business_summary,first_quoted_date
FXY,244958,Invesco CurrencyShares Japanese Yen Trust ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Guggenheim CurrencyShares Japanese Yen Trust, formerly CurrencyShares Japanese Yen Trust, is a grantor trust. The Trust issues shares (the Shares) in blocks of 50,000 (a Basket) in exchange for deposits of Japanese Yen and distributes Japanese Yen in connection with the redemption of Baskets. The investment objective of the Trust is for the Shares to reflect the price of Japanese Yen plus accrued interest, if any, less the expenses of the Trust's operations. The Trust holds Japanese Yen and, from time to time, issues Baskets in exchange for deposits of Japanese Yen and distributes Japanese Yen in connection with redemptions of Baskets. The Sponsor of the Trust is Guggenheim Specialized Products, LLC, a Delaware limited liability company. ",13/2/07
FXZ,277191,First Trust Materials AlphaDEX ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"First Trust Materials AlphaDEX Fund (the Fund) is an exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield of an equity index called the StrataQuant Materials Index (the Index). The Index is an enhanced index created and administered by the AMEX, which employs the AlphaDEX stock selection methodology to select stocks from the Russell 1000 Index. The AMEX constructs the Index by ranking the stocks, which are members of the Russell 1000 Index on growth factors, including 3, 6 and 12-month price appreciation, sales to price and one-year sales growth, and separately on value factors, including book value to price, cash flow to price and return on assets. The selected stocks are divided into quintiles based on their rankings and the top ranked quintiles receive a higher weight within the Index. The Index is reconstituted and rebalanced quarterly. The Fund's investment advisor is First Trust Advisors L.P. ",10/5/07
FYC,548229,First Trust Small Cap Growth AlphaDEX ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,20/4/11
FYT,550691,First Trust Small Cap Value AlphaDEX ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,20/4/11
FYX,277036,First Trust Small Cap Core AlphaDEX ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"First Trust Small Cap Core AlphaDEX Fund (the Fund) is an exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield of an equity index called the Defined Small Cap Core Index (the Index). The Index is an enhanced index created and administered by Standard & Poor's, which employs the AlphaDEX stock selection methodology to select stocks from the S&P SmallCap 600 Index. Standard & Poor's constructs the Index by ranking the stocks from the S&P SmallCap 600 Index on growth factors, including 3, 6 and 12-month price appreciation, sales to price and one-year sales growth, and separately on value factors, including book value to price, cash flow to price and return on assets. The selected stocks are divided into quintiles based on their rankings and the top ranked quintiles receive a higher weight within the Index. The Index is reconstituted and rebalanced quarterly. The Fund's investment advisor is First Trust Advisors L.P.",10/5/07
GBF,239759,iShares Government/Credit Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Government/Credit Bond ETF (the Fund) is an exchange-traded fund. The Fund seeks to track the investment results of an index composed of the United States dollar-denominated government, government-related and investment-grade the United States corporate bonds. The Fund seeks to track the investment results of the Barclays U.S. Government/Credit Bond Index (the Underlying Index), which measures the performance of the United States dollar-denominated United States Treasury bonds, government-related bonds (i.e., the United States and foreign agencies, sovereign, supranational and local authority debt) and investment-grade United States corporate bonds, which have a remaining maturity of greater than or equal to one year. The Underlying Index may include large-, mid- or small-capitalization companies, and components include agency and treasury securities, and financial and industrials companies. BlackRock Fund Advisors serves as investment adviser of the Fund.",11/1/07
GCC,368155,WisdomTree Enhanced Commodity Strategy ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"GreenHaven Continuous Commodity Index Fund (the Fund) is a statutory trust. The investment objective of the Fund and The GreenHaven Continuous Commodity Index Master Fund (the Master Fund) is to reflect the performance of the Index, over time, less the expenses of the operations of the Fund and the Master Fund. The Master Fund is a wholly owned subsidiary of the Fund and the Managing Owner. CSC Trust Company (the Trustee) is the sole trustee of the Fund and the Master Fund. The Master Fund issues common units of beneficial interest, or Master Fund Units, which represent units of fractional undivided beneficial interest in and ownership of the Master Fund. The Fund invests substantially all of its assets in the Master Fund in a master-feeder structure. The Fund holds no investment assets other than Master Fund Units.",24/1/08
GDX,204994,VanEck Gold Miners ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"The Fund seeks to match as closely as possible the price and yield performance of the AMEX Gold Miners Index. The Fund, utilizing a passive or indexing investment approach, attempts to approximate the investment performance of the Index by investing in a portfolio of stocks that generally replicate the Index.",22/5/06
GDXJ,475181,VanEck Junior Gold Miners ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Market Vectors Junior Gold Miners ETF (the Fund) seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the Market Vectors Junior Gold Miners Index (the Index). The Index provides exposure to a global universe of publicly traded small- and medium-capitalization companies that generate at least 50% of their revenues from gold and/or silver mining, hold real property that has the potential to produce at least 50% of the Company's revenue from gold or silver mining when developed, or primarily invest in gold or silver. The Fund will normally invest at least 80% of its total assets in companies that are involved in the gold mining industry. The Index is the exclusive property of 4asset-management GmbH, which has contracted with Structured Solutions AG to maintain and calculate the Index. The Fund's investment advisor is Van Eck Associates Corporation.",11/11/09
GGME,167575,Invesco Next Gen Media and Gaming ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"PowerShares Dynamic Media Portfolio (the Fund) is a non-diversified fund. The Fund seeks investment results that correspond generally to the price and yield of the Dynamic Media Intellidex Index (the Index). The Index is designed to provide capital appreciation by evaluating companies based on a variety of investment merit criteria, including fundamental growth, stock valuation, investment timeliness and risk factors. The Index consists of stocks of 30 United States media companies. These are companies that are principally engaged in the development, production, sale and distribution of goods or services used in the media industry. The Fund normally invests at least 90% of its total assets in common stocks that consists of the Index. The Fund's investment advisor is Invesco PowerShares Capital Management LLC.",23/6/05
GII,242820,SPDR S&P Global Infrastructure ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR S&P Global Infrastructure ETF (the Fund), formerly SPDR FTSE/Macquarie Global Infrastructure 100 ETF, seeks to replicate as closely as possible the total return performance of the Macquarie Global Infrastructure 100 Index (the Index). The Index, calculated by FTSE, is designed to reflect the stock performance of companies within the infrastructure industry, principally those engaged in management, ownership and operation of infrastructure and utility assets. The Index is a composite of the Macquarie Global Infrastructure Index (MGII), which is based on 255 stocks in the FTSE Global Equity Index Series. The Index is based on the universe of the MGII with a further country screen allowing only constituents in the FTSE developed and FTSE Advanced Emerging regions. The Fund utilizes a passive management strategy and sampling methodology to invest in a portfolio of stocks to replicate the Index. The Fund's investment advisor is SSgA Funds Management, Inc. ",31/1/07
GLD,155510,SPDR Gold Shares ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR Gold Trust (the Trust) is an investment trust. The investment objective of the Trust is for the Shares to reflect the performance of the price of gold bullion, less the Trust's expenses. The Trust's business activity is the investment of gold. The Trust creates and redeems Shares from time to time, but in one or more Baskets (a Basket equals a block of 100,000 Shares). The Trust issues Shares in Baskets to certain authorized participants (Authorized Participants) on an ongoing basis. The creation and redemption of Baskets is only made in exchange for the delivery to the Trust or the distribution by the Trust of the amount of gold and any cash represented by the Baskets being created or redeemed, the amount of which will be based on the combined net asset value of various Shares included in the Baskets being created or redeemed determined on the day the order to create or redeem Baskets is properly received.",18/11/04
GLIN,514316,VanEck India Growth Leaders ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"Market Vectors India Small-Cap Index ETF (the Fund) seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the Market Vectors India Small-Cap Index (the India Small-Cap Index). The Index provides exposure to publicly traded companies that are headquartered in India or that generate the majority of their revenues in India. The Fund seeks to achieve its investment objective by investing substantially all of its assets in the Subsidiary, a wholly owned subsidiary located in the Republic of Mauritius (Mauritius). The Subsidiary in turn will invest at least 80% of its total assets in securities that comprise the Fund's benchmark index and depository receipts based on the securities in the Fund's benchmark index. The Fund's benchmark index is comprised of smallcapitalization companies selected by 4asset-management GmbH (the Index Provider). Its investment advisor is Van Eck Associates Corporation.",25/8/10
GLL,431354,ProShares UltraShort Gold ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"ProShares UltraShort Gold (the Fund) seeks daily investment results that correspond to twice (200%) the inverse (opposite) of the daily performance of gold bullion as measured by the United States dollar p.m. fixing price for delivery in London. The Fund will not directly or physically hold the underlying gold, but instead, will seek exposure to gold through the use of financial instruments, whose value is based on the underlying price of gold to pursue their investment objective. The benchmark price of gold will be the United States dollar price of gold bullion as measured by the London afternoon fixing price per troy ounce of unallocated gold bullion for delivery in London through a member of the London Bullion Market Association (LBMA) authorized to effect such delivery. The Fund's investment advisor is ProShare Advisors LLC. ",3/12/08
GLTR,522270,abrdn Physical Precious Metals Basket Shares ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,22/10/10
GMF,269314,SPDR S&P Emerging Asia Pacific ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR S&P Emerging Asia Pacific ETF (the Fund) seeks to closely match the returns and characteristics of the total return performance of the S&P Asia Pacific Emerging BMI Index (the Index). The Index is a market capitalization-weighted index that defines and measures the investable universe of publicly traded companies domiciled in emerging Asian Pacific markets. The Index is float adjusted, meaning that only those shares publicly available to investors are included in the Index calculation. The Fund's investment manager is SSgA Funds Management, Inc.",23/3/07
GNR,518370,SPDR S&P Global Natural Resources ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,14/9/10
GOEX,523912,Global X Gold Explorers ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,4/11/10
GOVI,304583,Invesco Equal Weight 0-30 Year Treasury ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,11/10/07
GRID,476336,First Trust Nasdaq Clean Edge Smart Grid Infrastructure Index ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund (the Fund) seeks investment results, which correspond to the price and yield (before the Fund's fees and expenses) of an equity index called the NASDAQ OMX Clean Edge Smart Grid Infrastructure Index (the Index). The Fund focuses to invest at least 90% of its net assets in common stocks, which comprises the Index or in depositary receipts, which may include American depositary receipts (ADRs), global depositary receipts (GDRs), European depositary receipts (EDRs) or other depositary receipts (collectively Depositary Receipts) representing securities in the Index. The Index is designed to act as a transparent and liquid benchmark for the grid and electric energy infrastructure sector. First Trust Advisors L.P. acts as an investment advisor of the Fund.",17/11/09
GRPM,529240,Invesco S&P MidCap 400 GARP ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,8/12/10
GSG,211712,iShares S&P GSCI Commodity-Indexed Trust ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares S&P GSCI Commodity-Indexed Trust (The Trust) is an investment trust that issues units of beneficial interest (shares) representing fractional undivided beneficial interests in its net assets. The Trust's objective is to track the results of a fully collateralized investment in futures contracts on an index composed of a diversified group of commodities futures and to track the investment returns of the index before payment of the Trust's expenses and liabilities. The Trust is a commodity pool. Its activities include issuing baskets in exchange for index futures and cash or, in the discretion of the sponsor, other collateral assets and consistent with its investment objective, establishing, maintaining and closing out positions in index futures and acquiring, holding and disposing of corresponding collateral assets, among others. iShares Delaware Trust Sponsor LLC serves as the sponsor of the Trust. BlackRock Fund Advisors serves as the commodity trading advisor of the Trust.",21/7/06
GSY,370858,Invesco Ultra Short Duration ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,12/2/08
GUNR,578892,FlexSharesMorningstar Global Upsteam Natural Resources Index ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,22/9/11
GVI,239761,iShares Intermediate Govt/Credit Bond ETF,Cboe BZX,Cboe BZX,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Intermediate Government/Credit Bond ETF (the Fund), formerly iShares Barclays Intermediate Government/Credit Bond Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the investment grade credit sector of the United States bond market and the total United States Treasury market as defined by the Barclays Capital U.S. Intermediate Government/Credit Bond Index (the Index). The Index measures the performance of United States dollar-denominated United States Treasuries, government-related and investment-grade United States corporate securities that have a remaining maturity of greater than or equal to one year and less than 10 years. Securities have $250 million or more of outstanding face value, and must be fixed-rate and non-convertible. The Fund's investment advisor is BlackRock Fund Advisors.",11/1/07
GWX,274587,SPDR S&P International Small Cap ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR S&P International Small Cap ETF (the Fund) seeks to replicate as closely as possible the total return performance of the S&P Developed Ex-U.S. Under USD2 Billion Index (the Index), an equity index based upon the world (excluding the United States) small-cap composite market. The Index is a market capitalization-weighted index that defines and measures the investable universe of publicly traded companies domiciled in developed countries outside the United States. The Index is float adjusted, meaning that only those shares publicly available to investors are included in the Index calculation. The Fund uses a passive management strategy designed to track the price and yield performance of the Index. The Fund's investment manager is SSgA Funds Management, Inc. ",26/4/07
GXC,269318,SPDR S&P China ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR S&P China ETF (the Fund) seeks to replicate as closely as possible the total return performance of the S&P/Citigroup BMI China Index (the Index). The Index is a market capitalization-weighted index that defines and measures the investable universe of publicly traded companies domiciled in China, but legally available to foreign investors. The Index is float adjusted, meaning that only those shares publicly available to investors are included in the Index calculation. The Fund uses a passive management strategy designed to track the price and yield performance of the Index. The Fund's investment manager is SSgA Funds Management, Inc.",23/3/07
GXG,440799,Global X MSCI Colombia ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,9/2/09
HAP,424793,VanEck Natural Resources ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,3/9/08
HDGE,535029,AdvisorShares Ranger Equity Bear ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,27/1/11
HDV,544546,iShares Core High Dividend ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,31/3/11
HEDJ,483378,WisdomTree Europe Hedged Equity ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"WisdomTree Europe Hedged Equity Fund (the Fund), formerly WisdomTree International Hedged Equity Fund, is an exchange-traded fund. The Fund seeks to track the price and yield performance, before fees and expenses, of the WisdomTree Europe Hedged Equity Index. The WisdomTree Europe Hedged Equity Index provides exposure to European equities while at the same time neutralizing exposure to fluctuations between the Euro and the United States dollar. The Index hedges against fluctuations in the relative value of the Euro against the United States dollar. The Fund will invest in stocks of European companies with revenue from exports. The Index and Fund are designed to have higher returns than an equivalent non-currency hedged investment when the value of the United States dollar is increasing relative to the value of the euro, and lower returns when the United States dollar declines against the euro.",31/12/09
HYD,440571,VanEck High Yield Muni ETF,Cboe BZX,Cboe BZX,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,5/2/09
HYG,272279,iShares iBoxx $ High Yield Corporate Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares iBoxx $ High Yield Corporate Bond ETF (the Fund), formerly iShares iBoxx $ High Yield Corporate Bond Fund, is an exchange-traded fund (ETF). The Fund seeks to track the investment results of the Markit iBoxx USD Liquid High Yield Index (the Index), which is a rules-based index consisting of liquid the United States dollar-denominated, high yield corporate bonds for sale in the United States, as determined by the index provider. The Index may include large-, mid- or small-capitalization companies, and components primarily include consumer services, financial, industrials, and oil and gas companies. The components of the Index, and the degree to which these components represent certain industries. The Fund generally invests at least 90% of its assets in the securities of the Index and in investments that provide substantially similar exposure to the securities in the Index. The Fund's investment adviser is BlackRock Fund Advisors.",11/4/07
HYMB,548233,SPDR Nuveen Bloomberg High Yield Municipal Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,14/4/11
HYS,560353,PIMCO 0-5 Year High Yield Corporate Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,,17/6/11
IAI,203262,iShares US Broker-Dealers & Securities Exch ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares U.S. Broker-Dealers ETF (the Fund), formerly iShares Dow Jones U.S. Broker-Dealers Index Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the Dow Jones U.S. Select Investment Services Index (the Index). The Index measures the performance of the investment services sector of the United States equity market, and includes companies providing a range of specialized financial services, including securities brokers and dealers, online brokers and securities or commodities exchanges. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. The Fund's investment advisor is BlackRock Fund Advisors. ",5/5/06
IAK,203263,iShares US Insurance ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares U.S. Insurance ETF, formerly iShares Dow Jones U.S. Insurance Index Fund (the Fund), is an exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield performance of the Dow Jones U.S. Select Insurance Index (the Index). The Index measures the performance of the insurance sector of the United States equity market, and includes companies in industry groups, such as full-line insurance, insurance brokers, property and casualty insurance, reinsurance and life insurance. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. The Fund's investment advisor is BlackRock Fund Advisors.",5/5/06
IAT,203264,iShares US Regional Banks ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares U.S. Regional Banks ETF, formerly iShares Dow Jones U.S. Regional Banks Index Fund (the Fund), is an exchange traded fund. The Fund seeks investment results that correspond generally to the price and yield performance of the Dow Jones U.S. Select Regional Banks Index (the Index). The Index measures the performance of the regional bank sector of the United States equity market, and is a subset of the Dow Jones U.S. Bank Index. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. The Fund's investment advisor is BlackRock Fund Advisors. ",5/5/06
IAU,155657,iShares Gold Trust ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Gold Trust (the Trust) is to own gold transferred to the Trust in exchange for shares issued by the Trust (Shares). Each Share represents a fractional undivided beneficial interest in the net assets of the Trust. The assets of the Trust consist of gold held by the Trust's custodian on behalf of the Trust. The sponsor of the Trust is iShares Delaware Trust Sponsor LLC (the Sponsor), which is an indirect subsidiary of BlackRock, Inc. The trustee of the Trust is The Bank of New York Mellon (the Trustee) and the custodian of the Trust is JPMorgan Chase Bank N.A., London branch (the Custodian). The activities of the Trust are limited to issuing Baskets of Shares in exchange for the gold deposited with the Custodian as consideration; selling gold as necessary to cover the Sponsor's fee, Trust expenses not assumed by the Sponsor and other liabilities, and delivering gold in exchange for Baskets of Shares surrendered for redemption. The Trust is not actively managed.",28/1/05
IBB,126600,iShares Biotechnology ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Nasdaq Biotechnology ETF (the Fund), formerly iShares Nasdaq Biotechnology Index Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the NASDAQ Biotechnology Index (the Index). The Index contains securities of NASDAQ listed companies that are classified according to the Industry Classification Benchmark as either biotechnology or pharmaceuticals, which also meet other eligibility criteria determined by NASDAQ. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. Due to the use of representative sampling, the Fund may or may not hold all of the securities that are included in the Index. The Fund's investment advisor is BlackRock Fund Advisors, which is indirectly owned by BlackRock, Inc.",9/2/01
IBND,502621,SPDR Bloomberg International Corporate Bond ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"SPDR Barclays International Corporate Bond ETF (the Fund), formerly SPDR Barclays Capital International Corporate Bond ETF, seeks to provide investment results that correspond generally to the price and yield performance of the Barclays Capital Global Aggregate ex-USD > $1B: Corporate Bond Index (the Index), an index that tracks the investment-grade corporate sector of the global bond market outside of the United States. The Index is designed to be a broad based measure of the global investment-grade, fixed-rate, fixed-income corporate markets outside the United States. The Index is part of the Barclays Capital Global ex-USD Aggregate Bond Index. The major components of the Aggregate Index are the Pan-European Aggregate and the Asian Pacific Aggregate Indices. The Aggregate Index also includes Euro-Dollar and Euro-Yen corporate bonds, Canadian government, agency and corporate securities. The Fund's investment advisor is SSgA Funds Management, Inc.",20/5/10
ICF,145284,iShares Cohen & Steers REIT ETF,Cboe BZX,Cboe BZX,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Cohen & Steers REIT ETF (the Fund), formerly iShares Cohen & Steers Realty Majors Index Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the Cohen & Steers Realty Majors Index (the Index). The Index consists of selected real estate investment trusts (REITs). The objective of the Index is to represent relatively large and liquid REITs that may benefit from consolidation and securitization of the United States real estate industry. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. Due to the use of representative sampling, the Fund may or may not hold all of the securities that are included in the Index. The Fund's investment advisor is BlackRock Fund Advisors, an indirect subsidiary of BlackRock, Inc.",2/2/01
ICLN,397036,iShares Global Clean Energy ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares Global Clean Energy ETF, formerly iShares S&P Global Clean Energy Index Fund (the Fund), is an exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the S&P Global Clean Energy Index. The S&P Global Clean Energy Index includes clean energy production companies, clean energy equipment and technology providers. The Fund operates in a range of sectors, which include electric utilities, semiconductors and semiconductor equipment, independent power producers and energy traders, commercial services and supplies, and electrical equipment. BlackRock Fund Advisors acts as an investment adviser. ",25/6/08
IDGT,147817,iShares US Digital Infrastructure & Real Estate ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares North American Tech-Multimedia Networking ETF, formerly iShares S&P North American Technology-Multimedia Networking Index Fund (the Fund), exchange-traded fund. The Fund seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of U.S.-traded multimedia networking stocks as represented by the S&P North American Technology-Multimedia Networking Index (the Index). The Index has been developed as an equity benchmark for the United States-traded multimedia networking stocks. The Fund invests in sectors, such as communications equipment, software and S-T securities. The Fund generally invests at least 90% of its assets in securities of the Index and in depositary receipts representing securities of the Index. BlackRock Fund Advisors (BFA) serves as the investment adviser to the Fund.",13/7/01
IDHQ,282967,Invesco S&P Internatnl Developed Quality ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"The PowerShares S&P International Developed High Quality Portfolio (Fund), formerly the PowerShares Dynamic Developed International Opportunities Portfolio, is based on the S&P BMI International Developed High Quality Rankings Index (the Underlying Index). The Fund will invest at least 90% of its total assets in companies that are identified by the Index as high quality stocks based on historical records of earnings and dividends. The Underlying Index consists of securities selected to provide exposure to the constituents of the S&P Developed ex United States BMI Index that are identified by S&P Financial Serivces LLC (the Index Provider) as high quality stocks based on historical records of earnings and dividends. Its underlying index includes the S&P BMI International Developed High Quality Rankings Index. Invesco PowerShare Capital Management LLLC is the adviser of the Fund. ",13/6/07
IDU,129814,iShares US Utilities ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares U.S. Utilities ETF (the Fund) is an exchange-traded fund. The Fund seeks investment results that correspond to the price and yield performance, before fees and expenses, of the Dow Jones U.S. Utilities Index (the Underlying Index). The Underlying Index measures the performance of the utilities sector of the United States equity market. Its components primarily include utilities companies. BlackRock Fund Advisors acts as an investment adviser of the Fund.",20/6/00
IDV,284651,iShares International Select Dividend ETF,Cboe BZX,Cboe BZX,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares International Select Dividend ETF, formerly iShares Dow Jones International Select Dividend Index Fund, seeks investment results that correspond to the price and yield performance of the Dow Jones EPAC Select Dividend Index (the Index). The Index measures the performance of a selected group of equity securities issued by companies that have provided relatively high dividend yields on a consistent basis over time. The Index consists of 100 of the highest dividend-yielding securities (excluding real estate investment trusts (REITs) in the Dow Jones World Developed-Ex. United States Index, which covers developed markets, excluding the United States. The Company invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. Its investment advisor is BlackRock Fund Advisors.",15/6/07
IDX,440572,VanEck Indonesia ETF,NYSE Arca,NYSE Arca,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"The Market Vectors Indonesia Index ETF (IDX) seeks, before fees and expenses, the price and yield performance of the Market Vectors Indonesia Index (the Index). The Index provides exposure to publicly traded companies that are domiciled and primarily listed in Indonesia, or that generate at least 50% of their revenues in Indonesia. The Index is the property of Market Vectors Index Solutions GmbH, which has contracted with Structured Solutions AG to maintain and calculate the Index. ",20/1/09
IEF,131666,iShares 7-10 Year Treasury Bond ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares 7-10 Year Treasury Bond ETF (the Fund) is an is an exchange-traded fund. The Fund seeks to track the investment results of an index composed of the United States Treasury bonds with remaining maturities between seven and ten years. The Fund seeks to track the investment results of the Barclays U.S. 7-10 Year Treasury Bond Index (the Underlying Index), which measures the performance of public obligations of the United States Treasury that have a remaining maturity of greater than or equal to seven years and less than ten years. The Underlying Index includes all publicly-issued the United States Treasury securities that have a remaining maturity of greater than or equal to seven years and less than 10 years and have $250 million or more of outstanding face value. BlackRock Fund Advisors acts as an investment adviser of the Fund.",26/7/02
IEI,273915,iShares 3-7 Year Treasury Bond ETF,Nasdaq,Nasdaq,Stock Market,Exchange Traded Product,Exchange Traded Fund (ETF),,,"iShares 3-7 Year Treasury Bond ETF (the Fund), formerly iShares Barclays 3-7 Year Treasury Bond Fund, is an exchange-traded fund (ETF). The Fund seeks investment results that correspond generally to the price and yield performance of the Barclays Capital U.S. 3-7 Year Treasury Bond Index (the Index). The Index measures the performance of public obligations of the United States Treasury that have a remaining maturity of greater than or equal to three years and less than seven years. The Fund invests in a representative sample of securities included in the Index that collectively has an investment profile similar to the Index. The Fund's investment advisor is BlackRock Fund Advisors.",11/1/07
